bin_deg,observed_mean,independence_mean,excess_mean,excess_sem,n_animals_positive,wilcoxon_one_sided_greater_p,wilcoxon_one_sided_greater_p_bonferroni_8
-180,0.10278272935144124,0.11372133176213153,-0.01093860241069029,0.002943762529717858,1,0.9951171875,1.0
-135,0.10328060386640799,0.11504670273866051,-0.01176609887225254,0.0026183436568611627,1,0.998046875,1.0
-90,0.1104995703991131,0.12287659445530949,-0.012377024056196412,0.003419016698863355,1,0.998046875,1.0
-45,0.12998598600332595,0.13434468287278395,-0.004358696869458015,0.005506844360261561,4,0.7841796875,1.0
0,0.20378625623614188,0.14221765222790583,0.06156860400823605,0.013038448093961201,10,0.0009765625,0.0078125
45,0.13618026261086474,0.13405627793185718,0.002123984679007561,0.0030722948016876418,6,0.2783203125,1.0
90,0.11194763719512195,0.12227861242819445,-0.010330975233072488,0.0027433275465572134,1,0.9990234375,1.0
135,0.10153695433758317,0.115458145583157,-0.013921191245573877,0.0020909125842641847,0,1.0,1.0
