bin_deg,mean,sem,sd,min,max,n_animals_above_chance,wilcoxon_p,wilcoxon_p_bonf,ttest_p,ttest_p_bonf
-180,0.10278272935144124,0.005064108140433394,0.016014116041169358,0.07890909090909091,0.13238636363636364,1,0.9990234375,1.0,0.9991236679725206,1.0
-135,0.10328060386640799,0.004096653486098424,0.012954755800539959,0.08172727272727273,0.12526633522727273,1,0.9990234375,1.0,0.999753639051861,1.0
-90,0.1104995703991131,0.003935586128433314,0.012445416093613233,0.0893465909090909,0.12819602272727273,1,0.9990234375,1.0,0.9974796771783543,1.0
-45,0.12998598600332595,0.006118383029699274,0.019348025971171343,0.08892045454545454,0.16545454545454547,8,0.1162109375,0.9296875,0.21807579577654018,1.0
0,0.20378625623614188,0.015146792275877525,0.04789836283721846,0.13600852272727273,0.2953125,10,0.0009765625,0.0078125,0.0002814581742114102,0.0022516653936912817
45,0.13618026261086474,0.003919456920615521,0.012394411060054813,0.12102272727272727,0.16172727272727272,8,0.013671875,0.109375,0.009505706184838066,0.07604564947870453
90,0.11194763719512195,0.0025143952755962073,0.007951216008850803,0.09559659090909091,0.12082741477272728,0,1.0,1.0,0.9997145788940339,1.0
135,0.10153695433758317,0.0039415211609828546,0.012464184314457016,0.08217849223946785,0.11390269886363637,0,1.0,1.0,0.9998926994097329,1.0
