panel,outcome,outcome_label,group_variable,target_group,target_n,target_mean,target_sd,reference_group,reference_n,reference_mean,reference_sd,mean_difference_target_minus_reference,exact_two_sided_permutation_p,number_of_label_permutations,multiplicity_correction,comparison_family
A,direction_selective_fraction,Direction-selective neurons (%),indicator,GCaMP6s,2,4.979646537856071,1.88949937613291,GCaMP8s,8,3.6232490538309,1.49088558056331,1.35639748402516,0.2444444444444444,45,none,six retained outcomes
B,decoding_p8,8DT: decoding accuracy above 3/8,indicator,GCaMP6s,2,0.040263671875,0.0200027642190617,GCaMP8s,8,0.036369444322203,0.0194706545580582,0.0038942275527969,0.8222222222222222,45,none,six retained outcomes
C,decoding_rot,T-Rot: decoding accuracy above 3/8,indicator,GCaMP6s,2,0.126832091237579,0.0319938671207599,GCaMP8s,8,0.1978510037921559,0.0577199335382484,-0.0710189125545769,0.1777777777777777,45,none,six retained outcomes
D,decoding_tilt,Roll decoding ($R^2$),indicator,GCaMP6s,2,0.077143029330826,0.0051943352862224,GCaMP8s,8,0.0706760671943151,0.0213570445248807,0.0064669621365109,0.7111111111111111,45,none,six retained outcomes
E,decoding_yaw,Yaw decoding ($R^2$),indicator,GCaMP6s,2,0.2093720728833905,0.0099738845743048,GCaMP8s,8,0.0964214344901089,0.0392859000282016,0.1129506383932816,0.0222222222222222,45,none,six retained outcomes
F,decoding_zvert,Vert decoding ($R^2$),indicator,GCaMP6s,2,0.1166203432104591,0.0083104227224753,GCaMP8s,8,0.087827737997494,0.0375656200721636,0.028792605212965,0.3777777777777777,45,none,six retained outcomes
